kodim07	 lossy 	directJPEG	393216.000	15310.000	 10.000	none	267.415	 15.389	303.167	 15.412	 
kodim07	 lossy 	directJPEG	393216.000	25577.000	 20.000	none	179.780	 14.433	215.539	 14.410	 
kodim07	 lossy 	directJPEG	393216.000	38654.000	 30.000	none	110.251	 10.858	145.557	 10.824	 
kodim07	 lossy 	directJPEG	393216.000	50896.000	 40.000	none	 73.926	  7.318	109.619	  7.331	 
kodim07	 lossy 	directJPEG	393216.000	59631.000	 50.000	none	 54.221	  6.220	 89.972	  6.234	 
kodim07	 lossy 	directJPEG	393216.000	68092.000	 60.000	none	 40.289	  5.630	 76.424	  5.705	 
kodim07	 lossy 	directJPEG	393216.000	81547.000	 70.000	none	 27.800	  4.586	 64.410	  4.809	 
kodim07	 lossy 	directJPEG	393216.000	104091.000	 80.000	none	 15.837	  2.492	 52.854	  2.771	 
kodim07	 lossy 	directJPEG	393216.000	144677.000	 90.000	none	  5.508	  1.265	 43.135	  1.644	 
kodim07	 lossy 	directJPEG	393216.000	300121.000	100.000	none	  0.054	  0.064	 38.048	  0.578	 
